city,district,voivodeship,localization_y,localization_x,area,sewers,shape,road,fence,water,electricity,gas,price
Nekielka,wrzesiñski,wielkopolskie,52.396948,17.381582,2700,,,asfaltowa,brak,,,,240300
Gdynia,Kamienna Góra,pomorskie,54.5094606361493,18.5505577916269,469,,,asfaltowa,siatka,,,,1850000
Lublin,Konstantynów,lubelskie,51.24277778,22.49722222,1191,,,asfaltowa,,,,,470594
Wójtowo,olsztyñski,warmiñsko-mazurskie,53.790250291382,20.611496358227,1357,,,,,,,,108560
Lewkowiec,ostrowski,wielkopolskie,51.687134,17.799492,1267,,,utwardzana,brak,,,,89000
Mor¹g,ostródzki,warmiñsko-mazurskie,53.917362,19.928654,728,,,,brak,,,brak,52416
Franklinów,ostrowski,wielkopolskie,51.693603,17.814655,640,,,asfaltowa,brak,,,,51200
Ma³a Nieszawka,toruñski,kujawsko-pomorskie,52.989302,18.547172,1519,,,,brak,,,,227850
Milanówek,grodziski,mazowieckie,52.124582,20.667208,7704,,,asfaltowa,brak,,,,1386720
Mórkowo,leszczyñski,wielkopolskie,51.91055,16.534072,599,brak,,,brak,,,brak,77870
Przybyszewo,leszczyñski,wielkopolskie,51.804309,16.484695,995,brak,,,brak,,,brak,105000
Leszno,wielkopolskie,,51.842658,16.577814,1266,miejska,,,,,,,398790
Lubañ,lubañski,dolnoœl¹skie,51.122074,15.292621,1458,,,asfaltowa,inne,,,,1450000
Opacz Ma³a,pruszkowski,mazowieckie,52.16811,20.905578,1035,miejska,,,brak,,,,690000
Smo³dziñski Las,s³upski,pomorskie,54.690578,17.248873,1644,,,,brak,,,,147960
Uhowo,bia³ostocki,podlaskie,53.0052,22.90934,2015,,,,brak,,,,199000
Sierzchów,piaseczyñski,mazowieckie,51.982431,21.11786,1000,,,utwardzana,,,,,175000
Jeziórko,piaseczyñski,mazowieckie,51.986054,21.069367,1858,,,,siatka,,,,280000
Jeziórko,piaseczyñski,mazowieckie,51.986054,21.069367,929,,,,siatka,,,,159000
Klepacze,bia³ostocki,podlaskie,53.0936424846263,23.070482998013,1300,,,,,,,,240500
£ebcz,pucki,pomorskie,54.776822,18.361838,2000,,,,,,,,195000
Tuchom,kartuski,pomorskie,54.4197929,18.3773728,1037,brak,,,,,,,129625
Sz¹bruk,olsztyñski,warmiñsko-mazurskie,53.723564,20.33698,1200,,,,brak,,,,79000
Niepo³omice,wielicki,ma³opolskie,50.029867,20.219201,1320,miejska,,,,,,,240000
Nowy Dwór Wejherowski,wejherowski,pomorskie,54.541564,18.289417,1110,miejska,,,brak,,,,115000
Zbychowo,wejherowski,pomorskie,54.555761664752,18.3168506691915,900,brak,,,brak,,,brak,115000
Bieszkowice,wejherowski,pomorskie,54.513383,18.29568,805,,,,brak,,,,105000
Wierzyce,gnieŸnieñski,wielkopolskie,52.454372,17.387089,1515,,,,brak,,,,166650
D¹browa Górnicza,Ujejsce,œl¹skie,50.39055556,19.2425,1043,miejska,,asfaltowa,inne,,,,195000
Zwierzewo,ostródzki,warmiñsko-mazurskie,53.708523,20.047205,1219,,,,brak,,,,146280
Pliszczyn,lubelski,lubelskie,51.300229,22.651509,4000,,,asfaltowa,brak,,,,799000
Œwiebodzice,œwidnicki,dolnoœl¹skie,50.859126,16.328337,5764,,,,brak,w³asne ujêcie/studnia,,,250000
Œwieradów-Zdrój,lubañski,dolnoœl¹skie,50.912095,15.342,1051,,,,,,,,126120
Radom,Kozia Góra,mazowieckie,51.40305556,21.09805556,3029,,,asfaltowa,brak,,,,196885
Klwatka Królewska,radomski,mazowieckie,51.38692,21.294609,946,,,asfaltowa,brak,,,,89000
D³u¿yce,lubiñski,dolnoœl¹skie,51.373678,16.441916,3001,,,utwardzana,,,,,130000
Magdalenka,piaseczyñski,mazowieckie,52.095151,20.911236,1350,,,utwardzana,siatka,,,,620000
Lublin,lubelskie,,51.246181,22.561284,789,,,asfaltowa,brak,,,,159000
Lublin,Szerokie,lubelskie,51.2592,22.4842,1200,,,asfaltowa,inne,,,,300000
Radom,Je¿owa Wola,mazowieckie,51.36583333,21.09527778,941,,,utwardzana,brak,,,,75000
Pyzdry,wrzesiñski,wielkopolskie,52.168566,17.690375,13478,,,,,,,,1078000
Stêszew,poznañski,wielkopolskie,52.281246,16.704299,579,,,,,,,,63000
Katowice,Za³ê¿e,œl¹skie,50.2724645292131,18.9645314593908,1183,miejska,,asfaltowa,inne,,,,1399000
Mosina,poznañski,wielkopolskie,52.2319480301288,16.8457082853812,9836,,,utwardzana,,,,,2500000
Miko³ów,miko³owski,œl¹skie,50.168853,18.90575,1100,brak,,,brak,,,,159000
Ostromecko,bydgoski,kujawsko-pomorskie,53.146112,18.212651,479,,,,metalowe,,,brak,89000
Wrzeœnia,wrzesiñski,wielkopolskie,52.331123431913,17.5437517658146,684,miejska,,,,,,,199000
Katowice,Zarzecze,œl¹skie,50.18416667,18.94555556,1200,,,,inne,,,,208000
Chruszczobród,zawierciañski,œl¹skie,50.41431,19.313906,2000,brak,,,brak,,,,99000
Krasiejów,opolski,opolskie,50.667988,18.248549,2524,,,asfaltowa,brak,,,,70000
Chrz¹stowice,opolski,opolskie,50.664334,18.072529,954,,,asfaltowa,brak,,,,113000
Kotórz Ma³y,opolski,opolskie,50.730319,18.043131,1496,,,utwardzana,brak,,,,127500
Szczedrzyk,opolski,opolskie,50.703914,18.150859,805,,,asfaltowa,brak,,,,88000
¯êdowice,strzelecki,opolskie,50.584049,18.512095,2200,,,utwardzana,brak,,,,80000
Poznañ,Nowe Miasto,wielkopolskie,52.37833333,16.96027778,1320,,,,,,,,299000
Lublin,lubelskie,,51.246181,22.561284,12998,,,asfaltowa,,,,,2599600
Tomaszowice-Kolonia,lubelski,lubelskie,51.271147,22.354449,5000,,,asfaltowa,brak,,,,250000
Lublin,lubelskie,,51.246181,22.561284,6024,,,asfaltowa,brak,,,,2100000
Zabrze,Grzybowice,œl¹skie,50.36333333,18.76472222,3690,,,,brak,,,,999000
Radom,mazowieckie,,51.400057,21.158253,2070,,,utwardzana,brak,,,,89900
Ciecierzyn,lubelski,lubelskie,51.317155,22.608761,3917,,prostok¹t,asfaltowa,,,,,380000
Zagorzyn,kaliski,wielkopolskie,51.812752,18.035576,6500,brak,prostok¹t,polna,brak,brak,brak,brak,300000
Mi³os³aw,wrzesiñski,wielkopolskie,,,2671,,,,brak,,,,160000
Bojszowy,bieruñsko-lêdziñski,œl¹skie,50.057422,19.1012731,3795,miejska,,,brak,,,,570000
Krzy¿ka,skar¿yski,œwiêtokrzyskie,51.0025,20.8263,15500,,,utwardzana,brak,,,,180000
Wola Morawicka,kielecki,œwiêtokrzyskie,50.73142336,20.6482029,9800,,,,brak,,,,548800
Œciegnia,kielecki,œwiêtokrzyskie,50.98201694,20.90879681,4315,,,utwardzana,brak,,,,194175
Truskaw,warszawski zachodni,mazowieckie,,,20881,miejska,,,brak,,,,9400000
£oziska,piaseczyñski,mazowieckie,52.0752,20.9898,906,,,,brak,,,,298980
M¹chocice Kapitulne,kielecki,œwiêtokrzyskie,50.8902,20.7807,3623,,,,brak,,,,326070
Mniów,kielecki,œwiêtokrzyskie,50.81485646,20.59767008,1212,,,utwardzana,brak,,,,157560
Mniów,kielecki,œwiêtokrzyskie,50.8150666,20.59749842,1116,,,utwardzana,brak,,,,145080
Warszawa,Wilanów,mazowieckie,,,1924,,,,inne,,,,3174600
£ódŸ,Ba³uty,³ódzkie,51.8002,19.4457,1478,miejska,,,,,,,850000
Lipowica,kielecki,œwiêtokrzyskie,50.77933272,20.5136904,3300,,,utwardzana,brak,,,,169000
Brzeziny,kielecki,œwiêtokrzyskie,50.7761483,20.58740711,1198,,,utwardzana,brak,,,,95840
Niwy,kielecki,œwiêtokrzyskie,50.79749277,20.82961679,3991,,,utwardzana,brak,,,,199550
Daleszyce,kielecki,œwiêtokrzyskie,50.76386905,20.72580178,3001,,,,brak,,,,205000
Nowy Dwór Wejherowski,wejherowski,pomorskie,54.54135317,18.29290994,2771,miejska,,,brak,,,,199000
Lubojna,czêstochowski,œl¹skie,50.9036553,19.1482687,1130,,,,brak,,,,96000
Tychy,Czu³ów,œl¹skie,50.1517928,19.0048946,3463,,,,,,,,1454460
Mi³ków,jeleniogórski,dolnoœl¹skie,50.8095069,15.7617507,819,,,,brak,,,,100000
Jedlina-Zdrój,wa³brzyski,dolnoœl¹skie,50.71966,16.345569,1665,,,,,,,brak,83250
Dziwiszów,jeleniogórski,dolnoœl¹skie,50.9417102,15.7955227,1931,brak,,,brak,,,brak,199000
Wa³brzych,Piaskowa Góra,dolnoœl¹skie,50.80767762,16.27856255,35000,,,,,,,,1990000
Rzeczka,wa³brzyski,dolnoœl¹skie,50.669,16.4583,2200,,,,,,,,110000
Je¿ów Sudecki,jeleniogórski,dolnoœl¹skie,50.9361124,15.74164,1628,,,,,w³asne ujêcie/studnia,,,175824
£omnica,jeleniogórski,dolnoœl¹skie,50.864735,15.7961361,1291,,,,,,,,129100
Œwieradów-Zdrój,lubañski,dolnoœl¹skie,50.9087219,15.3431045,774,,,,brak,,,,77400
Œwiebodzice,œwidnicki,dolnoœl¹skie,50.8575,16.3213,1128,,,,brak,,,brak,103900
Œwieradów-Zdrój,lubañski,dolnoœl¹skie,50.9087219,15.3431045,1782,,,,brak,,,,178200
Bukowiec,jeleniogórski,dolnoœl¹skie,50.8261855,15.8210025,2000,,,,,,,,199000
Szczyrk,bielski,œl¹skie,49.715131,19.021719,7710,,,asfaltowa,,,,,1850400
Nienawiszcz,obornicki,wielkopolskie,52.6822381,16.9947984,18047,,,utwardzana,brak,,,,399000
Nienawiszcz,obornicki,wielkopolskie,52.6826,16.99581,4409,,,utwardzana,brak,,,,199000
Pruœce,obornicki,wielkopolskie,52.7684,17.0815,1120,,,utwardzana,brak,,,,39000
Ma³ec,d¹browski,ma³opolskie,50.2472716,21.1298467,2500,brak,,,,,,,30000
Œwiebodzice,œwidnicki,dolnoœl¹skie,50.8575,16.3213,1360,,,,,,,,80240
Lublin,Zemborzyce,lubelskie,51.246181,22.561284,2602.60,,,,brak,,,,310000
Nowa Wieœ,pruszkowski,mazowieckie,,,1103,,,,,,,,637500
Owczarnia,pruszkowski,mazowieckie,52.10029,20.706871,1700,,,utwardzana,,,,,550000
Stare Polaszki,koœcierski,pomorskie,54.029559,18.192102,1245,,,asfaltowa,brak,,,,44900
Gdañsk,Rêbiechowo,pomorskie,54.3550942398505,18.5104356960308,50000,,,utwardzana,brak,,,,10000000
Zielona Góra,Przylep,lubuskie,51.96861111,15.44944444,9300,,,,brak,,,,1488000
£uczyna,oleœnicki,dolnoœl¹skie,51.296003,17.282209,900,,,,brak,,,,70000
Bytyñ,w³odawski,lubelskie,51.330931,23.630707,1800,,,,,,,,27000
Borucino,kartuski,pomorskie,54.256119,17.97062,9900,,,,,,,,249000
Damice,krakowski,ma³opolskie,50.19246,19.940894,1292,brak,,,brak,,,brak,156000
Warszawa,Bródno,mazowieckie,,,360,,,utwardzana,siatka,,,,980000
Wroc³aw,O³taszyn,dolnoœl¹skie,51.05611111,17.02027778,600,miejska,,,brak,,,,480000
Barnowiec,bytowski,pomorskie,54.213903,17.236546,806,,,utwardzana,,,,,32000
Jab³onna,legionowski,mazowieckie,,,14900,,,,,,,,2980000
Jutrzenka,bytowski,pomorskie,54.205134,17.331567,1498,,,utwardzana,brak,,,,52500
Cisowo,s³awieñski,zachodniopomorskie,54.447317,16.437273,2000,,,,,,,,169000
Owczary,krakowski,ma³opolskie,50.175625000000004,19.911051,900,miejska,,,brak,,,,140000
Warszawa,Bia³o³êka,mazowieckie,52.31861111,21.03222222,1712,,,,brak,,,,650000
Dêbina,s³upski,pomorskie,54.634472,17.022699,1000,,,,,,,,85000
Gardeja,kwidzyñski,pomorskie,53.6065961578387,18.9475864169754,788,miejska,,asfaltowa,brak,,,,35000
¯ory,œl¹skie,,50.045286,18.696983,920,,,,brak,brak,,,165000
Rybnik,œl¹skie,,50.094851,18.541618,1532,,,asfaltowa,brak,brak,,,209000
Ka³owice,trzebnicki,dolnoœl¹skie,51.335568,17.145384,1044,brak,,,brak,,,brak,41760
Zielonka,wo³omiñski,mazowieckie,52.2662,21.1501,450,miejska,,asfaltowa,metalowe,,,,520000
Ka³owice,trzebnicki,dolnoœl¹skie,51.335568,17.145384,1293,brak,,,brak,,,brak,51720
Soko³ów,pruszkowski,mazowieckie,52.143722,20.8697,3100,,,,siatka,,,,780000
Wola Morawicka,kielecki,œwiêtokrzyskie,50.73142336,20.6482029,9800,,,,brak,,,,548800
Bo¿kowice,lubañski,dolnoœl¹skie,51.036806,15.319768,3400,brak,,asfaltowa,brak,w³asne ujêcie/studnia,,brak,90000
Bia³ystok,Dojlidy Górne,podlaskie,53.09527778,23.20888889,1000,,,,,,,,227000
Przytok,zielonogórski,lubuskie,51.957085,15.626374,1745,,,,brak,,,,159000
Mierzyn,policki,zachodniopomorskie,53.429123,14.465905,6570,,,utwardzana,brak,,,,1463000
Pilchowo,policki,zachodniopomorskie,53.497528,14.481809,1400,,,asfaltowa,,,,,395000
Œwinoujœcie,Przytór,zachodniopomorskie,53.88361111,14.33805556,20000,,,,,,,,3000000
Rafa³ówka,bia³ostocki,podlaskie,53.051042,23.337044,5452,,,,brak,w³asne ujêcie/studnia,,,349000
Karsznice,zduñskowolski,³ódzkie,51.57924,19.01813,1153,,,,,,,,69000
Œwinna,¿ywiecki,œl¹skie,49.663923,19.25918,1800,,,,,,,,69000
Bia³ystok,Dojlidy Górne,podlaskie,53.09527778,23.20888889,2500,,,,,,,,475000
Warszawa,Zawady,mazowieckie,52.1494098112774,21.1156675584188,10250,,,,,,,,5125000
Warszawa,Zawady,mazowieckie,52.173207468,21.1060207957256,1744,,,utwardzana,siatka,,,,1395200
Bia³ystok,Dojlidy Górne,podlaskie,53.09527778,23.20888889,1020,brak,,,brak,,,brak,315000
Szprotawa,¿agañski,lubuskie,51.564001,15.536202,4872,,,asfaltowa,brak,,,,155000
Lublin,Ponikwoda,lubelskie,51.26472222,22.58694444,790,,,,,,,,261000
Konstancin-Jeziorna,piaseczyñski,mazowieckie,52.092927,21.119394,1100,miejska,,,brak,,,,125000
Pr¹docin,bydgoski,kujawsko-pomorskie,53.008254,18.070283,1040,,,,,,,,98800
Pogorza³ki,bia³ostocki,podlaskie,53.22105,22.952695,3300,miejska,,,,,,brak,120000
Ma³e Rudy,nakielski,kujawsko-pomorskie,53.055273,17.857955,1526,,,,,,,,90000
M³odojewo,s³upecki,wielkopolskie,52.311737,17.936843,2700,szambo,,utwardzana,siatka,,,,99000
Koplany,bia³ostocki,podlaskie,53.053381,23.114765,1000,miejska,,utwardzana,brak,,,,109000
Supraœl,bia³ostocki,podlaskie,,,823,miejska,,,brak,,,,425000
Nekla,bydgoski,kujawsko-pomorskie,53.238798,18.086757,1054,,,,,,,,94860
Nekla,bydgoski,kujawsko-pomorskie,53.238798,18.086757,1853,,,,,,,,100000
Brwinów,pruszkowski,mazowieckie,52.140582,20.71904,1500,,,asfaltowa,siatka,,,,900000
Mystków,nowos¹decki,ma³opolskie,49.607016,20.783781,1400,,,asfaltowa,brak,,,,99000
Lasków,wo³omiñski,mazowieckie,52.490721,21.337198,800,,,utwardzana,brak,,,,80000
Bolestraszyce,przemyski,podkarpackie,49.812362,22.848357,6400,,,asfaltowa,,,,,80000
Nowy Pra¿mów,piaseczyñski,mazowieckie,51.966701,20.950659,1600,,,utwardzana,brak,,,,135000
Warszawa,W³ochy,mazowieckie,52.20611111,20.91277778,3556,,,utwardzana,brak,,,,2650000
Dobczyn,wo³omiñski,mazowieckie,52.385984,21.300909,7800,szambo,,utwardzana,,,,,507000
Skrzeszew,legionowski,mazowieckie,52.461408,20.892411,1451,,,asfaltowa,brak,,,,260000
Dobrzyñ,nowodworski,mazowieckie,52.372498,20.716108,1100,,,utwardzana,,,,,167000
Jaros³aw,jaros³awski,podkarpackie,50.0162897297094,22.6949382687593,361,,,utwardzana,siatka,,,,110000
£ubno,¿yrardowski,mazowieckie,52.037761,20.361763,3326,,,,,,,,99000
Wapowce,przemyski,podkarpackie,49.806655,22.669619,5158,,,asfaltowa,inne,,,,210000
Potêpa,tarnogórski,œl¹skie,,,1000,,,,brak,,,,115000
Laszki,jaros³awski,podkarpackie,50.020457,22.902665,2000,,,,,,,,44000
¯ó³win,pruszkowski,mazowieckie,52.106761,20.725973,3051,,,asfaltowa,inne,,,,280000
¯uków,grodziski,mazowieckie,52.151045,20.647969,22800,,,utwardzana,,,,,798000
Chrzanów Ma³y,grodziski,mazowieckie,52.138059,20.635179,541,,,,,,,,129000
¯abia Wola,grodziski,mazowieckie,52.030618,20.694948,1021,,,,,,,,148000
Bartoszówka,grodziski,mazowieckie,51.981985,20.658005,25500,,,,brak,,,,765000
Owczarnia,pruszkowski,mazowieckie,52.10029,20.706871,2150,,,utwardzana,siatka,,,,395000
W³adys³awów,grodziski,mazowieckie,52.051635,20.702206,1500,,,asfaltowa,siatka,,,,290000
Dêbica,dêbicki,podkarpackie,50.0710800179406,21.4237733337432,1696,miejska,,utwardzana,brak,,,,152640
Mas³ów Pierwszy,kielecki,œwiêtokrzyskie,50.9204769333416,20.702609776969,5000,,,utwardzana,brak,,,,650000
Koœcielniki Górne,lubañski,dolnoœl¹skie,51.0492,15.2843,2700,,,asfaltowa,,,,,36000
Kuklówka Radziejowicka,¿yrardowski,mazowieckie,52.045477,20.594722,1168,,,,brak,,,,110000
Pi³a,pilski,wielkopolskie,53.1585,16.7144,6315,,,,,,,,600000
Cerekwica,poznañski,wielkopolskie,52.521232,16.692411,880,miejska,prostok¹t,polna,brak,wodoci¹g w drodze,w drodze,w drodze,202000
Z³otniczki,poznañski,wielkopolskie,52.4979,17.2473,1677,,,,,,,,160000
Skórzewo,poznañski,wielkopolskie,52.4342,16.7983,860,,,,,,,,390000
Nowa Bystrzyca,k³odzki,dolnoœl¹skie,50.2945,16.5772,1003,,,,brak,,,brak,49147
Tychy,Wilkowyje,œl¹skie,50.14863522,18.93294979,752,,,utwardzana,brak,,,,142880
Gostyñ,miko³owski,œl¹skie,50.11450401,18.8552282,821,,,,brak,,,,99500
D¹brówka,grójecki,mazowieckie,51.871951,20.73153,43000,,,asfaltowa,,,,,2150000
Baligród,leski,podkarpackie,49.334504,22.287173,2700,,,,,,,,197100
Soko³owice,oleœnicki,dolnoœl¹skie,51.243177,17.447245,1000,przydomowa oczyszczalnia œcieków,,asfaltowa,brak,,,brak,60000
Warszawa,Wawer,mazowieckie,52.1589889473481,21.1813725164288,2825,,,,,,,,1017000
Warszawa,Wawer,mazowieckie,52.1589889473481,21.1813725164288,2775,,,,,,,,1054500
Pomiechówek,nowodworski,mazowieckie,52.474093,20.72656,1400,szambo,,,,,,brak,98000
Nadarzyn,pruszkowski,mazowieckie,52.093404,20.807995,1100,,,,brak,,,,148500
Ojrzanów,grodziski,mazowieckie,52.0019,20.7337,1282,,,utwardzana,brak,,,,128200
Kwidzyn,kwidzyñski,pomorskie,53.7406446019345,18.9218714147966,10500,szambo,,utwardzana,brak,w³asne ujêcie/studnia,,brak,115000
Wroc³aw,Brochów,dolnoœl¹skie,51.06138889,17.07972222,973,miejska,,asfaltowa,brak,,,,432985
Wisznia Ma³a,trzebnicki,dolnoœl¹skie,51.251556,17.049128,38543,brak,,utwardzana,brak,,,brak,3854300
Jary,trzebnicki,dolnoœl¹skie,51.28453,16.869407,7527,,,,,,,,289000
Jary,trzebnicki,dolnoœl¹skie,51.28453,16.869407,6282,,,,brak,,,,209000
Modlniczka,krakowski,ma³opolskie,50.109888,19.817526,4500,miejska,,,inne,,,,1300000
KaŸmierz,szamotulski,wielkopolskie,52.513487,16.587475,1696,,,,brak,,,,187000
Pisary,krakowski,ma³opolskie,50.127571,19.694342,2000,,,,brak,,,,198000
Tarnowskie Góry,tarnogórski,œl¹skie,50.4547051486975,18.8516678371559,540,,,asfaltowa,siatka,,,,199000
Che³m Œl¹ski,bieruñsko-lêdziñski,œl¹skie,50.1134430428398,19.2015197592223,1300,miejska,,utwardzana,brak,,,,198000
Czêstochowa,œl¹skie,,50.7929169430279,19.032679243592,800,,,utwardzana,,,,,105000
Miasteczko Œl¹skie,tarnogórski,œl¹skie,50.504131,18.928514,784,miejska,,utwardzana,,,,,90160
Tarnowskie Góry,tarnogórski,œl¹skie,50.443254,18.858722,651,miejska,,utwardzana,brak,,,brak,78120
Tarnowskie Góry,tarnogórski,œl¹skie,50.443254,18.858722,14000,miejska,,asfaltowa,metalowe,,,brak,1222000
Krzy¿ka,skar¿yski,œwiêtokrzyskie,51.0025,20.8263,15500,,,utwardzana,brak,,,,180000
Truskaw,warszawski zachodni,mazowieckie,,,20881,miejska,,,brak,,,,9400000
Warszawa,Wilanów,mazowieckie,,,1924,,,,inne,,,,3174600
£ódŸ,Ba³uty,³ódzkie,51.8002,19.4457,1478,miejska,,,,,,,850000
Brzeziny,kielecki,œwiêtokrzyskie,50.7761483,20.58740711,1198,,,utwardzana,brak,,,,95840
Jedlina-Zdrój,wa³brzyski,dolnoœl¹skie,50.71966,16.345569,1665,,,,,,,brak,83250
Wa³brzych,Piaskowa Góra,dolnoœl¹skie,50.80767762,16.27856255,35000,,,,,,,,1990000
Œwieradów-Zdrój,lubañski,dolnoœl¹skie,50.9087219,15.3431045,1782,,,,brak,,,,178200
Je¿ów Sudecki,jeleniogórski,dolnoœl¹skie,50.9361124,15.74164,1628,,,,,w³asne ujêcie/studnia,,,175824
Œwieradów-Zdrój,lubañski,dolnoœl¹skie,50.9087219,15.3431045,774,,,,brak,,,,77400
Rzeczka,wa³brzyski,dolnoœl¹skie,50.669,16.4583,2200,,,,,,,,110000
Szczyrk,bielski,œl¹skie,49.715131,19.021719,7710,,,asfaltowa,,,,,1850400
Nienawiszcz,obornicki,wielkopolskie,52.6822381,16.9947984,18047,,,utwardzana,brak,,,,399000
Nienawiszcz,obornicki,wielkopolskie,52.6826,16.99581,4409,,,utwardzana,brak,,,,199000
Lipowica,kielecki,œwiêtokrzyskie,50.77933272,20.5136904,3300,,,utwardzana,brak,,,,169000
Nowy Dwór Wejherowski,wejherowski,pomorskie,54.54135317,18.29290994,2771,miejska,,,brak,,,,199000
Daleszyce,kielecki,œwiêtokrzyskie,50.76386905,20.72580178,3001,,,,brak,,,,205000
Niwy,kielecki,œwiêtokrzyskie,50.79749277,20.82961679,3991,,,utwardzana,brak,,,,199550
Lubojna,czêstochowski,œl¹skie,50.9036553,19.1482687,1130,,,,brak,,,,96000
Tychy,Czu³ów,œl¹skie,50.1517928,19.0048946,3463,,,,,,,,1454460
Mi³ków,jeleniogórski,dolnoœl¹skie,50.8095069,15.7617507,819,,,,brak,,,,100000
£omnica,jeleniogórski,dolnoœl¹skie,50.864735,15.7961361,1291,,,,,,,,129100
Dziwiszów,jeleniogórski,dolnoœl¹skie,50.9417102,15.7955227,1931,brak,,,brak,,,brak,199000
Bukowiec,jeleniogórski,dolnoœl¹skie,50.8261855,15.8210025,2000,,,,,,,,199000
Œwiebodzice,œwidnicki,dolnoœl¹skie,50.8575,16.3213,1360,,,,,,,,80240
Œwiebodzice,œwidnicki,dolnoœl¹skie,50.8575,16.3213,1128,,,,brak,,,brak,103900
Pruœce,obornicki,wielkopolskie,52.7684,17.0815,1120,,,utwardzana,brak,,,,39000
Ma³ec,d¹browski,ma³opolskie,50.2472716,21.1298467,2500,brak,,,,,,,30000
Lublin,Zemborzyce,lubelskie,51.246181,22.561284,2602.60,,,,brak,,,,310000
Nowy Dwór Wejherowski,wejherowski,pomorskie,54.541564,18.289417,1110,miejska,,,brak,,,,115000
Zbychowo,wejherowski,pomorskie,54.555761664752,18.3168506691915,900,brak,,,brak,,,brak,115000
Bieszkowice,wejherowski,pomorskie,54.513383,18.29568,805,,,,brak,,,,105000
Wierzyce,gnieŸnieñski,wielkopolskie,52.454372,17.387089,1515,,,,brak,,,,166650
D¹browa Górnicza,Ujejsce,œl¹skie,50.39055556,19.2425,1043,miejska,,asfaltowa,inne,,,,195000
Zwierzewo,ostródzki,warmiñsko-mazurskie,53.708523,20.047205,1219,,,,brak,,,,146280
Mosina,poznañski,wielkopolskie,52.2319480301288,16.8457082853812,9836,,,utwardzana,,,,,2500000
Miko³ów,miko³owski,œl¹skie,50.168853,18.90575,1100,brak,,,brak,,,,159000
Katowice,Zarzecze,œl¹skie,50.18416667,18.94555556,1200,,,,inne,,,,208000
Chruszczobród,zawierciañski,œl¹skie,50.41431,19.313906,2000,brak,,,brak,,,,99000
Ostromecko,bydgoski,kujawsko-pomorskie,53.146112,18.212651,479,,,,metalowe,,,brak,89000
Wrzeœnia,wrzesiñski,wielkopolskie,52.331123431913,17.5437517658146,684,miejska,,,,,,,199000
Radom,Kozia Góra,mazowieckie,51.40305556,21.09805556,3029,,,asfaltowa,brak,,,,196885
Klwatka Królewska,radomski,mazowieckie,51.38692,21.294609,946,,,asfaltowa,brak,,,,89000
Lublin,lubelskie,,51.246181,22.561284,12998,,,asfaltowa,,,,,2599600
Tomaszowice-Kolonia,lubelski,lubelskie,51.271147,22.354449,5000,,,asfaltowa,brak,,,,250000
Lublin,lubelskie,,51.246181,22.561284,6024,,,asfaltowa,brak,,,,2100000
Radom,mazowieckie,,51.400057,21.158253,2070,,,utwardzana,brak,,,,89900
Katowice,Panewniki,œl¹skie,50.23055556,18.95222222,2950,,,,brak,,,,980000
Ostrzeszewo,olsztyñski,warmiñsko-mazurskie,53.767137,20.540916,1404,,,,brak,,,,239000
Warszawa,Skorosze,mazowieckie,52.19222222,20.90777778,1660,,,,,,,,1770000
Koœcielisko,tatrzañski,ma³opolskie,49.29076,19.888786,723,szambo,,,brak,w³asne ujêcie/studnia,,,1012200
Warszawa,Mokotów,mazowieckie,52.20055556,21.02444444,867,,,asfaltowa,siatka,,,,4500000
Dojazdów,krakowski,ma³opolskie,50.12109,20.114124,2085,,,,brak,,,,165000
Kosakowo,pucki,pomorskie,54.591734,18.502478,1001,,,,,,,,260000
Klepacze,bia³ostocki,podlaskie,53.107844,23.07637,1057,,,utwardzana,brak,,,,232540
Somonino,kartuski,pomorskie,54.2696442834584,18.2079547232333,1890,,,,,,,,85000
Tanowo,policki,zachodniopomorskie,53.537643,14.468237,1963,,,utwardzana,,,,,409000
Kraków,Olszanica,ma³opolskie,50.07083333,19.83388889,1350,miejska,,asfaltowa,,,,,675000
Lublin,lubelskie,,51.246181,22.561284,810,,,asfaltowa,siatka,,,,2049000
Dêbówka,piaseczyñski,mazowieckie,52.046075,21.194893,20273,,,asfaltowa,brak,,,,470000
Stargard,stargardzki,zachodniopomorskie,53.335571,15.045049,440,,,asfaltowa,siatka,,,,215000
Warszawa,mazowieckie,,52.24053,21.034167,8016,,,asfaltowa,,,,,5760700
G³ogoczów,myœlenicki,ma³opolskie,49.895398,19.876229,1249,miejska,,asfaltowa,,,,,135000
Nadarzyn,pruszkowski,mazowieckie,52.093404,20.807995,5000,,,utwardzana,inne,,,,875000
Szczyglice,krakowski,ma³opolskie,50.092258,19.818393,2000,miejska,,,brak,,,,500000
Kraków,Bie¿anów,ma³opolskie,50.01666667,20.03833333,743,miejska,,asfaltowa,,,,,186000
Konstantów,warszawski zachodni,mazowieckie,52.168255,20.58828,1500,,,,,,,,150000
Pi³a,pilski,wielkopolskie,53.1585,16.7144,6315,,,,,,,,600000
Cerekwica,poznañski,wielkopolskie,52.521232,16.692411,880,miejska,prostok¹t,polna,brak,wodoci¹g w drodze,w drodze,w drodze,202000
Z³otniczki,poznañski,wielkopolskie,52.4979,17.2473,1677,,,,,,,,160000
Skórzewo,poznañski,wielkopolskie,52.4342,16.7983,860,,,,,,,,390000
Nowa Bystrzyca,k³odzki,dolnoœl¹skie,50.2945,16.5772,1003,,,,brak,,,brak,49147
