city,district,voivodeship,localization_y,localization_x,area,sewers,shape,road,fence,water,electricity,gas,price
Poznañ,Szczepankowo,wielkopolskie,52.3679858993045,16.9974231836399,1600,miejska,prostok¹t,asfaltowa,metalowe,wodoci¹g w drodze,w drodze,w drodze,599000
Katowice,Zarzecze,œl¹skie,50.1903316979074,18.9436863988859,6500,,,,,,,,2275000
Stary Giera³tów,k³odzki,dolnoœl¹skie,50.308869,16.91898,5749,,inny,utwardzana,brak,brak,na dzia³ce,brak,340000
Grêbocin,toruñski,kujawsko-pomorskie,53.049290908785,18.722599518803,1794,miejska,prostok¹t,utwardzana,brak,wodoci¹g na dzia³ce,na dzia³ce,na dzia³ce,232000
Warszawa,Bia³o³êka,mazowieckie,52.363500925341,21.0658246959463,750,brak,prostok¹t,kostka brukowa,brak,wodoci¹g w drodze,na dzia³ce,w drodze,319000
Wieliczki,olecki,warmiñsko-mazurskie,,,1127,,kwadrat,utwardzana,brak,wodoci¹g w drodze,na dzia³ce,brak,100000
Kraków,Tyniec,ma³opolskie,50.0315367796606,19.8331290586751,2900,brak,trapez,asfaltowa,brak,wodoci¹g w drodze,na dzia³ce,na dzia³ce,1218000
Bielsko-Bia³a,œl¹skie,,49.8138652798973,19.092616259364,5410,,prostok¹t,utwardzana,,,,,599340
Nowy S¹cz,ma³opolskie,,,,,miejska,,asfaltowa,metalowe,wodoci¹g na dzia³ce,na dzia³ce,w drodze,360000
Urzut,pruszkowski,mazowieckie,52.073848,20.741939,97000,,,,,,,,28600000
Goœcicino,wejherowski,pomorskie,54.595206511738,18.180984742622,1244,,prostok¹t,asfaltowa,brak,wodoci¹g w drodze,w drodze,w drodze,170000
Pniów,gliwicki,œl¹skie,50.420258279595,18.630983042358,,,,,,,,,150
Trzebiatów,gryficki,zachodniopomorskie,54.0495762918714,15.2783157063634,1425,miejska,prostok¹t,kostka brukowa,,wodoci¹g na dzia³ce,na dzia³ce,na dzia³ce,118000
Skar¿ysko-Kamienna,skar¿yski,œwiêtokrzyskie,51.117890087685,20.8717090539312,2235,miejska,prostok¹t,asfaltowa,siatka,wodoci¹g w drodze,na dzia³ce,w drodze,930000
Podkowa Leœna,grodziski,mazowieckie,52.1194779406552,20.740523725222,2590,szambo,trapez,utwardzana,metalowe,w³asne ujêcie/studnia,na dzia³ce,,1450000
£ódŸ,Œródmieœcie,³ódzkie,51.7677351394755,19.4577927202883,,,,,,,,,4000000
Wo³ownia,suwalski,podlaskie,54.202081,22.944269,98920,brak,inny,asfaltowa,brak,wodoci¹g w drodze,w drodze,brak,920000
W¹sowo,nowotomyski,wielkopolskie,52.3483798289346,16.2462795859037,805,,prostok¹t,utwardzana,brak,,,,20125
Wicie,s³awieñski,zachodniopomorskie,54.511078190515,16.483654848397,4140,miejska,prostok¹t,kostka brukowa,siatka,wodoci¹g w drodze,w drodze,,1449000
Radzewo,poznañski,wielkopolskie,52.2064389278,17.02442151063,8230,szambo,prostok¹t,asfaltowa,brak,wodoci¹g w drodze,w drodze,w drodze,339000
Micha³owice,krakowski,ma³opolskie,50.165362,19.980525,22000,szambo,prostok¹t,asfaltowa,siatka,wodoci¹g na dzia³ce,na dzia³ce,,4500000
Mezowo,kartuski,pomorskie,54.304608185095,18.253141895926,1472,,inny,asfaltowa,brak,wodoci¹g w drodze,na dzia³ce,w drodze,176640
Piekary Œl¹skie,œl¹skie,,50.382779836142,18.928144351406,5251,miejska,prostok¹t,asfaltowa,siatka,wodoci¹g w drodze,w drodze,w drodze,785000
Czubin,pruszkowski,mazowieckie,52.17561,20.668019,1500,,prostok¹t,asfaltowa,,wodoci¹g w drodze,w drodze,,150000
Stare Babice,warszawski zachodni,mazowieckie,52.258391756597,20.828937890107,1100,miejska,prostok¹t,asfaltowa,mieszane,wodoci¹g na dzia³ce,na dzia³ce,na dzia³ce,495000
Meszna,bielski,œl¹skie,49.745897,19.057308,2125,brak,trapez,polna,brak,wodoci¹g w drodze,w drodze,w drodze,255000
Pszczyna,pszczyñski,œl¹skie,49.997598815668,18.951866264292,13456,brak,kwadrat,utwardzana,brak,wodoci¹g na dzia³ce,na dzia³ce,na dzia³ce,1080000
Uwieliny,piaseczyñski,mazowieckie,51.971065,21.049513,1000,brak,prostok¹t,polna,brak,wodoci¹g w drodze,w drodze,brak,90000
Kraków,Podgórze,ma³opolskie,50.011454828906,20.024791490731,1100,miejska,prostok¹t,asfaltowa,,wodoci¹g w drodze,w drodze,na dzia³ce,861000
£ódŸ,Polesie,³ódzkie,51.786006059739,19.352854105659,1099,przydomowa oczyszczalnia œcieków,prostok¹t,kostka brukowa,,,,,494550
Che³m,lubelskie,,51.136375309249,23.50833110291,3600,miejska,prostok¹t,asfaltowa,siatka,wodoci¹g na dzia³ce,na dzia³ce,na dzia³ce,650000
Bibice,krakowski,ma³opolskie,50.121532175361,19.956888834312,720,miejska,prostok¹t,utwardzana,siatka,wodoci¹g na dzia³ce,w drodze,w drodze,280000
Guzew,³ódzki wschodni,³ódzkie,51.639182,19.459734,7756,,prostok¹t,asfaltowa,,wodoci¹g w drodze,na dzia³ce,w drodze,135000
Straszyn,gdañski,pomorskie,54.280025427556,18.562852426902,1238,inne,inny,utwardzana,¿ywop³ot,wodoci¹g w drodze,w drodze,w drodze,252000
G³ogówek,prudnicki,opolskie,50.352351,17.86701,7000,,,,,,,,666666
T³uszcz,wo³omiñski,mazowieckie,52.43049,21.437844,1783,brak,kwadrat,polna,brak,,na dzia³ce,brak,75000
G³ogówek,prudnicki,opolskie,50.352351,17.86701,7200,miejska,inny,utwardzana,mieszane,wodoci¹g w drodze,w drodze,w drodze,684000
Poznañ,Nowe Miasto,wielkopolskie,52.37833333,16.96027778,1019,miejska,prostok¹t,asfaltowa,,wodoci¹g w drodze,w drodze,w drodze,249000
Warszawa,Tarchomin,mazowieckie,52.348126654671,20.926862710519,671,brak,prostok¹t,asfaltowa,brak,brak,w drodze,w drodze,310000
Ostróda,ostródzki,warmiñsko-mazurskie,53.718888186202,19.97742148583,1077,miejska,prostok¹t,utwardzana,brak,wodoci¹g na dzia³ce,na dzia³ce,na dzia³ce,198000
Wi¹czyñ Dolny,³ódzki wschodni,³ódzkie,51.77933,19.61864,4797,brak,prostok¹t,asfaltowa,brak,wodoci¹g w drodze,w drodze,w drodze,550000
Stare Babice,warszawski zachodni,mazowieckie,52.2564,20.7632,897,miejska,,utwardzana,brak,,,,220000
Borzêcin Ma³y,warszawski zachodni,mazowieckie,52.2577,20.7105,1174,szambo,,,brak,,,,230000
Koczargi Stare,warszawski zachodni,mazowieckie,52.2656,20.7957,2344,miejska,,asfaltowa,brak,,,,773520
Borzêcin Du¿y,warszawski zachodni,mazowieckie,52.2606,20.7468,1208,miejska,,asfaltowa,brak,,,,410000
Mieœciska,szamotulski,wielkopolskie,52.445666,16.488822,10484,brak,prostok¹t,polna,brak,wodoci¹g w drodze,w drodze,w drodze,1362920
Pilchy,piski,warmiñsko-mazurskie,53.693244,21.828968,28000,szambo,prostok¹t,asfaltowa,drewniane,w³asne ujêcie/studnia,na dzia³ce,,3200000
D¹brówka,poznañski,wielkopolskie,52.37559954509,16.749386420577,871,miejska,prostok¹t,kostka brukowa,brak,wodoci¹g w drodze,na dzia³ce,w drodze,330980
Szklarska Porêba,jeleniogórski,dolnoœl¹skie,50.836805240336,15.531886403409,6643,,trapez,asfaltowa,,,,,3075000
Konstantynów £ódzki,¯abiczki,³ódzkie,51.7576306799853,19.2812132285334,988,brak,prostok¹t,utwardzana,brak,wodoci¹g w drodze,w drodze,w drodze,140000
Zboiska,¿yrardowski,mazowieckie,51.982256,20.567698,8775,brak,prostok¹t,utwardzana,brak,wodoci¹g w drodze,w drodze,brak,569000
Malin,trzebnicki,dolnoœl¹skie,51.220859,17.067227,1500,,,,brak,,,,255000
Warszawa,Zawady,mazowieckie,52.15301,21.13171,2250,,,,,,,,1700000
Wroc³aw,Fabryczna,dolnoœl¹skie,51.1225,16.93083333,9934,,,utwardzana,,,,,598000
Rusiec,pruszkowski,mazowieckie,52.076369915661,20.795097890374,1113,,prostok¹t,utwardzana,,wodoci¹g na dzia³ce,,w drodze,311640
Stare Babice,warszawski zachodni,mazowieckie,52.250603,20.84308,800,,,,brak,,,,300000
Warszawa,Kêpa Zawadowska,mazowieckie,52.1684267250866,21.1164757405461,1215,,,asfaltowa,brak,,,,896670
Wynki,ostródzki,warmiñsko-mazurskie,53,,20},8000,miejska,,,brak,,,brak,289000
Sobików,piaseczyñski,mazowieckie,51.961079,21.13711,1000,,,asfaltowa,siatka,,,,120000
O¿arów Mazowiecki,warszawski zachodni,mazowieckie,52.2103507,20.7972326,931,,,utwardzana,,,,,475000
Niwy,bydgoski,kujawsko-pomorskie,53.197236,18.102868,2040,,,,,,,,282000
Warszawa,Stary Rembertów,mazowieckie,52.272,21.1547,844,,,utwardzana,brak,,,,569000
Warszawa,Za³uski,mazowieckie,52.1705,20.9388,5956,,,asfaltowa,brak,,,,5956000
Warszawa,Kêpa Zawadowska,mazowieckie,52.1523,21.1291,13748,,,utwardzana,,,,,4800000
Warszawa,W³ochy,mazowieckie,52.1799,20.9478,3558,,,asfaltowa,brak,,,,2650000
Warszawa,Olszynka Grochowska,mazowieckie,52.2499,21.1053,3277,,,asfaltowa,brak,,,,1500000
Warszawa,Raków,mazowieckie,52.1961,20.9504,2000,miejska,,asfaltowa,,,,,4000000
Warszawa,Wierzbno,mazowieckie,52.1944,21.0144,1077,,,utwardzana,,,,,2400000
Kraków,Krowodrza,ma³opolskie,50.0734002443518,19.8592895601973,400,,,utwardzana,,,,,400000
Warszawa,W³ochy,mazowieckie,52.1799,20.9478,1349,,,utwardzana,brak,,,,2200000
Warszawa,Powsin,mazowieckie,52.1294,21.1122,7228,,,utwardzana,,,,,2100000
Warszawa,Opacz Wielka,mazowieckie,52.1773,20.9246,853,,,asfaltowa,brak,,,,900000
