city,district,voivodeship,localization_y,localization_x,area,sewers,shape,road,fence,water,electricity,gas,price
Goœciszów,boles³awiecki,dolnoœl¹skie,51.1614,15.4524,8000,NaN,NaN,asfaltowa,brak,NaN,NaN,NaN,240000
Boles³awiec,boles³awiecki,dolnoœl¹skie,51.27,15.5383,2221,NaN,NaN,asfaltowa,brak,NaN,NaN,NaN,222000
Ostrow¹sy,szczecinecki,zachodniopomorskie,53.7812,16.3748,1200,NaN,NaN,NaN,brak,NaN,NaN,NaN,40000
Czerwionka-Leszczyny,rybnicki,œl¹skie,50.1489305,18.6774678,920,brak,NaN,NaN,NaN,NaN,NaN,brak,82500
Ksi¹¿enice,rybnicki,œl¹skie,50.1541,18.5992,3629,NaN,NaN,NaN,NaN,NaN,NaN,brak,250000
Czêstochowa,Raków,œl¹skie,50.7864,19.1559,549,NaN,prostok¹t,asfaltowa,brak,NaN,NaN,NaN,65000
¯ukowo,kartuski,pomorskie,54.34082,18.32289,982,NaN,NaN,utwardzana,brak,NaN,NaN,NaN,115000
Kocmyrzów,krakowski,ma³opolskie,50.1877,20.067,2900,NaN,prostok¹t,NaN,NaN,NaN,NaN,NaN,159000
Kanie,pruszkowski,mazowieckie,52.1384,20.769,1000,miejska,NaN,NaN,brak,NaN,NaN,NaN,240000
Warszawa,Marysin Wawerski,mazowieckie,52.23472222,21.15333333,3480,NaN,prostok¹t,asfaltowa,metalowe,NaN,NaN,NaN,4000000
Pieñki S³ubickie,grodziski,mazowieckie,51.9911,20.617,2260,NaN,NaN,utwardzana,NaN,NaN,NaN,NaN,142000
Bronisze,warszawski zachodni,mazowieckie,52.2143917,20.8393407,13330,NaN,NaN,asfaltowa,brak,NaN,NaN,NaN,5470000
Brwinów,pruszkowski,mazowieckie,52.142598,20.7175048,1200,NaN,NaN,utwardzana,NaN,NaN,NaN,NaN,308000
O¿arów Mazowiecki,warszawski zachodni,mazowieckie,52.2103507,20.7972326,1900,NaN,NaN,utwardzana,NaN,NaN,NaN,NaN,702000
Rusiec,pruszkowski,mazowieckie,52.0658,20.8039,1234,NaN,NaN,utwardzana,NaN,NaN,NaN,NaN,308500
B³onie,warszawski zachodni,mazowieckie,52.1985472,20.6169567,1200,NaN,NaN,asfaltowa,NaN,NaN,NaN,NaN,360000
Boles³awiec,boles³awiecki,dolnoœl¹skie,51.27,15.5383,2221,NaN,NaN,asfaltowa,brak,NaN,NaN,NaN,222000
Boles³awiec,boles³awiecki,dolnoœl¹skie,51.2657,15.518,1160,NaN,NaN,utwardzana,brak,NaN,NaN,NaN,139000
Goœciszów,boles³awiecki,dolnoœl¹skie,51.1614,15.4524,8000,NaN,NaN,asfaltowa,brak,NaN,NaN,NaN,240000
Osowiec,grodziski,mazowieckie,52.0331,20.659,1100,NaN,NaN,NaN,brak,NaN,NaN,NaN,154000
Warzenko,kartuski,pomorskie,54.4196,18.36004,2013,NaN,NaN,NaN,brak,NaN,NaN,NaN,402600
Kraków,Jugowice,ma³opolskie,50.0024083090062,19.9272179426581,900,NaN,prostok¹t,asfaltowa,mieszane,NaN,NaN,NaN,775000
Rosanów,zgierski,³ódzkie,51.902138,19.372316,1027,NaN,prostok¹t,NaN,siatka,NaN,NaN,NaN,90000
¯ukowo,kartuski,pomorskie,54.34082,18.32289,982,NaN,NaN,utwardzana,brak,NaN,NaN,NaN,115000
Kocmyrzów,krakowski,ma³opolskie,50.1877,20.067,2900,NaN,prostok¹t,NaN,NaN,NaN,NaN,NaN,159000
Osowiec,grodziski,mazowieckie,52.0367,20.6394,4462,NaN,prostok¹t,utwardzana,NaN,NaN,NaN,NaN,535440
Poznañ,Smochowice,wielkopolskie,52.4386034,16.8305173,818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,540000
Ochaby Wielkie,cieszyñski,œl¹skie,49.851,18.7586,991,NaN,NaN,asfaltowa,brak,NaN,NaN,NaN,80000
¯ó³win,pruszkowski,mazowieckie,52.1069017,20.7347027,1090,szambo,NaN,utwardzana,brak,NaN,NaN,NaN,190000
Owczarnia,pruszkowski,mazowieckie,52.1109,20.7047,2000,NaN,NaN,asfaltowa,inne,NaN,NaN,NaN,400000
Busko-Zdrój,buski,œwiêtokrzyskie,50.4704,20.7192,1984,brak,NaN,NaN,brak,NaN,NaN,brak,85000
Gutkowo,olsztyñski,warmiñsko-mazurskie,53.82472,20.26557,7320,NaN,NaN,NaN,NaN,NaN,NaN,NaN,650000
Nowe W³óki,olsztyñski,warmiñsko-mazurskie,53.9058,20.52582,15138,NaN,NaN,NaN,NaN,NaN,NaN,NaN,150000
Patryki,olsztyñski,warmiñsko-mazurskie,53.73881129,20.67109132,1616,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94150
Poznañ,Junikowo,wielkopolskie,52.3860287,16.8421254,1051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,460000
Domaszczyn,wroc³awski,dolnoœl¹skie,51.18701279,17.1648465,1023,NaN,NaN,utwardzana,brak,NaN,NaN,NaN,169000
Poznañ,Morasko,wielkopolskie,52.4827,16.9025,1500,NaN,prostok¹t,polna,brak,NaN,NaN,NaN,419000
Milanówek,grodziski,mazowieckie,52.1185315,20.6716234,1200,NaN,NaN,NaN,brak,NaN,NaN,NaN,198000
Milanówek,grodziski,mazowieckie,NaN,NaN,1753,NaN,NaN,NaN,brak,NaN,NaN,NaN,320000
Jaworzno,œl¹skie,NaN,50.200971,19.276309,1751,NaN,NaN,utwardzana,brak,NaN,NaN,NaN,200000
Jaworzno,œl¹skie,NaN,50.200971,19.276309,1751,NaN,NaN,utwardzana,brak,NaN,NaN,NaN,200000
Unieradz,zachodniopomorskie,NaN,54.0515,15.582,3000,NaN,prostok¹t,asfaltowa,metalowe,NaN,NaN,NaN,180000
Warszawa,Bia³o³êka,mazowieckie,52.31861111,21.03222222,2800,NaN,NaN,NaN,brak,NaN,NaN,NaN,840000
Knurów,gliwicki,œl¹skie,50.2177807138884,18.6605589313483,6074,NaN,prostok¹t,utwardzana,siatka,NaN,NaN,NaN,999000
Ligota,bielski,œl¹skie,49.881163,18.9496,2820,NaN,prostok¹t,asfaltowa,brak,NaN,NaN,NaN,195000
Siedliska,piaseczyñski,mazowieckie,52.06409,21.05478,2800,NaN,NaN,utwardzana,brak,NaN,NaN,NaN,720000
Kocmyrzów,krakowski,ma³opolskie,50.128035,20.12959,900,NaN,prostok¹t,asfaltowa,NaN,NaN,NaN,NaN,120000
Wyry,miko³owski,œl¹skie,50.1325,18.9029,1363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,158800
Zarêby,grodziski,mazowieckie,52.0017,20.7341,1183,NaN,prostok¹t,utwardzana,brak,NaN,NaN,NaN,95000
Kêpno,kêpiñski,wielkopolskie,51.2793,17.9868,5064,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1440000
Przês³awice,grójecki,mazowieckie,51.8957,20.7823,4500,NaN,NaN,asfaltowa,NaN,NaN,NaN,NaN,160020
Œwiêcice,warszawski zachodni,mazowieckie,52.2122,20.6914,1000,NaN,NaN,asfaltowa,NaN,NaN,NaN,NaN,300000
Parzniew,pruszkowski,mazowieckie,52.1524,20.7555,4600,NaN,NaN,utwardzana,NaN,NaN,NaN,NaN,561200
Stare Babice,warszawski zachodni,mazowieckie,52.2596,20.8341,5600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,560000
Brwinów,pruszkowski,mazowieckie,52.142598,20.7175048,3000,NaN,NaN,asfaltowa,NaN,NaN,NaN,NaN,840000
Kamienica,limanowski,ma³opolskie,49.5745,20.3446,1082,miejska,NaN,asfaltowa,brak,NaN,NaN,brak,65000
D¹browa Górnicza,Strzemieszyce Wielkie,œl¹skie,50.3125,19.27972222,1813,NaN,NaN,asfaltowa,brak,NaN,NaN,NaN,195000
D¹browa Górnicza,œl¹skie,NaN,50.3779196897145,19.2380359359836,753,NaN,NaN,utwardzana,brak,NaN,NaN,NaN,145000
Jaktorów,grodziski,mazowieckie,52.0839785,20.5446989,1272,NaN,NaN,utwardzana,NaN,NaN,NaN,NaN,220000
Kondrajec,p³oñski,mazowieckie,52.6967,20.5158,4500,NaN,prostok¹t,asfaltowa,brak,NaN,NaN,NaN,170000
Bia³y £ug,piaseczyñski,mazowieckie,51.946,21.0581,2000,NaN,trapez,asfaltowa,brak,NaN,NaN,NaN,170000
Pra¿mów,piaseczyñski,mazowieckie,NaN,NaN,1380,NaN,NaN,NaN,NaN,NaN,NaN,NaN,138000
Magdalenka,piaseczyñski,mazowieckie,52.0812112,20.9118215,1800,miejska,NaN,utwardzana,siatka,NaN,NaN,NaN,690000
Podgórzyn,jeleniogórski,dolnoœl¹skie,50.8274,15.6847,1197,NaN,NaN,utwardzana,brak,NaN,NaN,NaN,110000
Buszkowy,gdañski,pomorskie,54.22713425,18.44578743,1013,NaN,NaN,utwardzana,inne,NaN,NaN,NaN,95000
Szczêsne,grodziski,mazowieckie,52.083641,20.6497885,2357,NaN,NaN,utwardzana,NaN,NaN,NaN,NaN,424000
Kokotów,wielicki,ma³opolskie,50.0136337,20.0935109,1300,NaN,NaN,NaN,brak,NaN,NaN,NaN,286000
Lgota Wielka,radomszczañski,³ódzkie,51.1488512,19.3278979,2924,NaN,NaN,asfaltowa,NaN,NaN,NaN,NaN,59000
Szczecin,Wielgowo,zachodniopomorskie,53.3904925,14.4832075,1558,NaN,prostok¹t,utwardzana,brak,NaN,NaN,NaN,270000
Krzypnica,gryfiñski,zachodniopomorskie,53.1862,14.467,1383,NaN,NaN,utwardzana,brak,NaN,NaN,NaN,115000
Rybnik,Wielopole,œl¹skie,50.1264197,18.5513602,2382,miejska,NaN,NaN,brak,NaN,NaN,brak,199000
Owczarnia,pruszkowski,mazowieckie,52.1109,20.7047,1851,NaN,NaN,NaN,brak,NaN,NaN,NaN,399000
Buszkowy,gdañski,pomorskie,54.22713425,18.44578743,1013,NaN,NaN,utwardzana,inne,NaN,NaN,NaN,95000
Magdalenka,piaseczyñski,mazowieckie,52.0812112,20.9118215,1800,miejska,NaN,utwardzana,siatka,NaN,NaN,NaN,690000
Podgórzyn,jeleniogórski,dolnoœl¹skie,50.8274,15.6847,1197,NaN,NaN,utwardzana,brak,NaN,NaN,NaN,110000
Kryspinów,krakowski,ma³opolskie,50.042829,19.800746,8200,NaN,prostok¹t,asfaltowa,brak,NaN,NaN,NaN,920000
Tarnawce,przemyski,podkarpackie,49.7917,22.6809,3307,NaN,trapez,asfaltowa,brak,NaN,NaN,NaN,99210
Sade Budy,grodziski,mazowieckie,52.057874,20.487545,920,NaN,prostok¹t,asfaltowa,brak,NaN,NaN,NaN,108000
¯abia Wola,grodziski,mazowieckie,52.030618,20.694948,10734,NaN,prostok¹t,asfaltowa,brak,NaN,NaN,NaN,751380
Gdynia,Oksywie,pomorskie,54.5490221,18.5321914,757,brak,NaN,NaN,NaN,NaN,NaN,brak,1320000
Chwaszczyno,kartuski,pomorskie,54.4573,18.4348,1000,NaN,NaN,utwardzana,NaN,NaN,NaN,NaN,180000
¯ó³wia B³oæ,zachodniopomorskie,NaN,53.5972,14.8607,2010,NaN,NaN,NaN,brak,NaN,NaN,NaN,160000
Czarna £¹ka,goleniowski,zachodniopomorskie,53.4598,14.7197,526,NaN,NaN,asfaltowa,NaN,NaN,NaN,NaN,52600
Suchy Las,pruszkowski,mazowieckie,52.1358,20.8491,1000,NaN,NaN,asfaltowa,NaN,NaN,NaN,NaN,260000
Jaktorów,grodziski,mazowieckie,52.0839785,20.5446989,3600,NaN,NaN,utwardzana,NaN,NaN,NaN,NaN,554000
Milanówek,grodziski,mazowieckie,52.1185315,20.6716234,1504,szambo,NaN,NaN,siatka,NaN,NaN,NaN,390000
Zbros³awice,tarnogórski,œl¹skie,50.4159,18.754,1015,NaN,NaN,NaN,brak,NaN,NaN,NaN,260000
Kêpno,kêpiñski,wielkopolskie,51.2793,17.9868,4809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1361524
Cisie,miñski,mazowieckie,52.2123551,21.3837731,1728,NaN,NaN,NaN,NaN,NaN,NaN,NaN,269200
Sobótka,wroc³awski,dolnoœl¹skie,50.89864827,16.72119141,1000,szambo,NaN,NaN,brak,NaN,NaN,NaN,140000
Ruciane-Nida,piski,warmiñsko-mazurskie,53.6178,21.6451,11000,NaN,NaN,utwardzana,NaN,NaN,NaN,NaN,999000
Kêdzierzynka,myœlenicki,ma³opolskie,49.8733,20.1542,2742,szambo,NaN,asfaltowa,brak,NaN,NaN,NaN,110000
Owczarnia,pruszkowski,mazowieckie,NaN,NaN,1003,NaN,NaN,utwardzana,NaN,NaN,NaN,NaN,400000
Jastków,lubelski,lubelskie,51.3036,22.4363,2431,NaN,NaN,NaN,NaN,NaN,NaN,NaN,385000
Ogonki,wêgorzewski,warmiñsko-mazurskie,54.1821999,21.8171498,2054,NaN,NaN,utwardzana,brak,NaN,NaN,NaN,25000
Zabrze,Makoszowy,œl¹skie,50.2651290048886,18.7585264995742,1527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,199000
Miko³ów,miko³owski,œl¹skie,50.1790184,18.9038037,925,NaN,NaN,NaN,brak,NaN,NaN,NaN,149000
kartuski,pomorskie,NaN,NaN,NaN,4561,NaN,trapez,NaN,brak,NaN,NaN,NaN,215000
Lipowo,mr¹gowski,warmiñsko-mazurskie,53.7791,21.4298,5025,NaN,prostok¹t,NaN,NaN,NaN,NaN,NaN,241200
Musu³y,grodziski,mazowieckie,52.0437,20.6534,1480,NaN,NaN,asfaltowa,NaN,NaN,NaN,NaN,150000
Urzut,pruszkowski,mazowieckie,52.0667132,20.7498094,31500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4095000
Kozery,grodziski,mazowieckie,52.1104,20.5887,1833,NaN,NaN,asfaltowa,brak,NaN,NaN,NaN,201630
Milanówek,grodziski,mazowieckie,52.1185315,20.6716234,1605,NaN,NaN,asfaltowa,brak,NaN,NaN,NaN,650000
Marksewo,szczycieñski,warmiñsko-mazurskie,53.54453,21.03421,1200,NaN,NaN,utwardzana,brak,NaN,NaN,NaN,65000
Ruciane-Nida,piski,warmiñsko-mazurskie,53.6178,21.6451,11000,NaN,NaN,utwardzana,NaN,NaN,NaN,NaN,999000
Zabrze,Makoszowy,œl¹skie,50.2651290048886,18.7585264995742,1527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,199000
Miko³ów,miko³owski,œl¹skie,50.1790184,18.9038037,925,NaN,NaN,NaN,brak,NaN,NaN,NaN,149000
Czarna £¹ka,goleniowski,zachodniopomorskie,53.4598,14.7197,526,NaN,NaN,asfaltowa,NaN,NaN,NaN,NaN,52600
Sobótka,wroc³awski,dolnoœl¹skie,50.89864827,16.72119141,1000,szambo,NaN,NaN,brak,NaN,NaN,NaN,140000
Kêpno,kêpiñski,wielkopolskie,51.2793,17.9868,4809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1361524
Jaktorów,grodziski,mazowieckie,52.0839785,20.5446989,3600,NaN,NaN,utwardzana,NaN,NaN,NaN,NaN,554000
Milanówek,grodziski,mazowieckie,52.1185315,20.6716234,1504,szambo,NaN,NaN,siatka,NaN,NaN,NaN,390000
Suchy Las,pruszkowski,mazowieckie,52.1358,20.8491,1000,NaN,NaN,asfaltowa,NaN,NaN,NaN,NaN,260000
Zbros³awice,tarnogórski,œl¹skie,50.4159,18.754,1015,NaN,NaN,NaN,brak,NaN,NaN,NaN,260000
Owczarnia,pruszkowski,mazowieckie,NaN,NaN,1003,NaN,NaN,utwardzana,NaN,NaN,NaN,NaN,400000
Kêdzierzynka,myœlenicki,ma³opolskie,49.8733,20.1542,2742,szambo,NaN,asfaltowa,brak,NaN,NaN,NaN,110000
Jastków,lubelski,lubelskie,51.3036,22.4363,2431,NaN,NaN,NaN,NaN,NaN,NaN,NaN,385000
Ogonki,wêgorzewski,warmiñsko-mazurskie,54.1821999,21.8171498,2054,NaN,NaN,utwardzana,brak,NaN,NaN,NaN,25000
kartuski,pomorskie,NaN,NaN,NaN,4561,NaN,trapez,NaN,brak,NaN,NaN,NaN,215000
Lipowo,mr¹gowski,warmiñsko-mazurskie,53.7791,21.4298,5025,NaN,prostok¹t,NaN,NaN,NaN,NaN,NaN,241200
Boles³awiec,boles³awiecki,dolnoœl¹skie,51.27,15.5383,1009,NaN,NaN,asfaltowa,brak,NaN,NaN,NaN,121000
Rusiec,pruszkowski,mazowieckie,52.0658,20.8039,1300,NaN,NaN,asfaltowa,NaN,NaN,NaN,NaN,286000
Rusiec,pruszkowski,mazowieckie,52.0658,20.8039,1145,NaN,NaN,utwardzana,NaN,NaN,NaN,NaN,286250
Gródek nad Dunajcem,nowos¹decki,ma³opolskie,49.7629,20.7753,8700,NaN,NaN,asfaltowa,siatka,NaN,NaN,NaN,199000
£apanów,bocheñski,ma³opolskie,49.8645692,20.289332,1700,NaN,NaN,NaN,brak,brak,NaN,NaN,140000
Siedliska,przemyski,podkarpackie,49.760657,22.889228,1272,NaN,trapez,polna,brak,NaN,NaN,NaN,57000
Tuchola,tucholski,kujawsko-pomorskie,53.5957271356571,17.8871353948694,10000,NaN,NaN,asfaltowa,brak,NaN,NaN,NaN,369000
Szczecin,P³onia,zachodniopomorskie,53.427312,14.549056,900,NaN,prostok¹t,NaN,brak,NaN,NaN,NaN,210000
Warszawa,Goc³awek,mazowieckie,52.24053,21.034167,585,NaN,NaN,asfaltowa,NaN,NaN,NaN,NaN,2770000
Pniewo,gryfiñski,zachodniopomorskie,53.2208,14.49,1013,NaN,NaN,asfaltowa,NaN,NaN,NaN,NaN,105000
Jankowice,rybnicki,œl¹skie,50.033333,18.55,3000,NaN,NaN,NaN,brak,NaN,NaN,NaN,145000
Rybnik,Wielopole,œl¹skie,50.1264197,18.5513602,1200,miejska,NaN,NaN,NaN,NaN,NaN,brak,139000
S³omin,pruszkowski,mazowieckie,52.1097,20.8949,1000,NaN,NaN,utwardzana,NaN,NaN,NaN,NaN,320000
Kajetany,pruszkowski,mazowieckie,52.0926,20.8184,1181,NaN,prostok¹t,utwardzana,brak,NaN,NaN,NaN,245000
Konstancin-Jeziorna,piaseczyñski,mazowieckie,52.09308,21.11805,2941,NaN,NaN,asfaltowa,brak,NaN,NaN,NaN,269000
Pêcice Ma³e,pruszkowski,mazowieckie,52.1439,20.839,1500,NaN,NaN,utwardzana,NaN,NaN,NaN,NaN,495000
Nadarzyn,pruszkowski,mazowieckie,52.094,20.8074,1000,NaN,NaN,asfaltowa,brak,NaN,NaN,NaN,310000
Bielsko-Bia³a,œl¹skie,NaN,49.821877,19.047007,573,NaN,prostok¹t,NaN,NaN,NaN,NaN,NaN,172000
Warszawa,Bia³o³êka,mazowieckie,52.31861111,21.03222222,1400,NaN,NaN,NaN,brak,NaN,NaN,NaN,420000
Kamieñ,wejherowski,pomorskie,54.47585,18.26016,1067,NaN,NaN,utwardzana,NaN,NaN,NaN,NaN,155000
Kraków,Dêbniki,ma³opolskie,50.04888889,19.91416667,3000,NaN,prostok¹t,asfaltowa,brak,NaN,NaN,NaN,669000
Zarêby,grodziski,mazowieckie,52.0017,20.7341,1166,NaN,prostok¹t,utwardzana,brak,NaN,NaN,NaN,94000
Dosin,legionowski,mazowieckie,52.480933,21.007987,1139,NaN,trapez,utwardzana,NaN,NaN,NaN,NaN,150000
Jod³ów,k³odzki,dolnoœl¹skie,50.16198631,16.75471648,9200,NaN,NaN,utwardzana,brak,NaN,NaN,NaN,230000
Mników,krakowski,ma³opolskie,50.0598,19.7212,4200,NaN,prostok¹t,asfaltowa,NaN,NaN,NaN,NaN,580000
£ódŸ,Andrzejów,³ódzkie,51.7461,19.6205,1824,miejska,NaN,asfaltowa,siatka,NaN,NaN,brak,282000
Wola £aszczowa,koniñski,wielkopolskie,52.266,18.2323,6100,NaN,NaN,utwardzana,brak,NaN,NaN,NaN,89000
Warszawa,Zielona-Grzybowa,mazowieckie,52.246732,21.22318626,950,brak,NaN,NaN,NaN,NaN,NaN,NaN,580000
Tuchów,tarnowski,ma³opolskie,49.9115,21.0638,1666,miejska,NaN,asfaltowa,siatka,NaN,NaN,NaN,100000
Pra¿mów,piaseczyñski,mazowieckie,51.9402929,20.954784,1220,NaN,NaN,NaN,NaN,NaN,NaN,NaN,122000
Gdañsk,Kokoszki,pomorskie,54.3482,18.4703,1906,brak,NaN,NaN,NaN,NaN,NaN,NaN,500000
Warszawa,Grabów,mazowieckie,52.24053,21.034167,776,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1090000
Trzebucza,wêgrowski,mazowieckie,52.233243,21.887122,897,NaN,NaN,asfaltowa,NaN,NaN,NaN,NaN,37500
Palêdzie,poznañski,wielkopolskie,52.3669,16.7503,1005,NaN,prostok¹t,utwardzana,brak,NaN,NaN,NaN,290000
Józefów,legionowski,mazowieckie,52.3840849,21.0050123,874,NaN,NaN,NaN,NaN,NaN,NaN,NaN,176000
Rusiec,pruszkowski,mazowieckie,NaN,NaN,1500,NaN,NaN,NaN,brak,NaN,NaN,NaN,255000
Parzniew,pruszkowski,mazowieckie,52.1524,20.7555,5581,NaN,NaN,utwardzana,brak,NaN,NaN,NaN,1090000
Warszawa,Aleksandrów,mazowieckie,52.1775223138836,21.2327584084122,1120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,550000
Zgorza³a,piaseczyñski,mazowieckie,52.1024,20.992,1070,NaN,trapez,utwardzana,brak,NaN,NaN,NaN,450000
Demlin,starogardzki,pomorskie,54.08727,18.51458,1100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82500
Tomaszkowo,olsztyñski,warmiñsko-mazurskie,53.717105,20.411392,1973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,157840
Ró¿nowo,olsztyñski,warmiñsko-mazurskie,53.857904,20.506334,1414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70700
Katowice,Piotrowice,œl¹skie,50.2648919,19.0237815,8670,miejska,NaN,NaN,brak,NaN,NaN,NaN,990000
P³ochocin,warszawski zachodni,mazowieckie,52.1999,20.7211,1500,NaN,NaN,utwardzana,NaN,NaN,NaN,NaN,240000
Okuniew,miñski,mazowieckie,52.2714452,21.3065385,803,szambo,NaN,NaN,metalowe,w³asne ujêcie/studnia,NaN,NaN,235000
Sudó³,ostrowiecki,œwiêtokrzyskie,50.97217,21.47581,3200,miejska,NaN,NaN,brak,NaN,NaN,brak,105000
Kajetany,pruszkowski,mazowieckie,52.0844,20.8273,4000,NaN,prostok¹t,utwardzana,drewniane,NaN,NaN,NaN,1790000
zachodniopomorskie,NaN,NaN,NaN,NaN,2244,NaN,inny,asfaltowa,NaN,NaN,NaN,NaN,85000
Sosnówka,jeleniogórski,dolnoœl¹skie,50.8177,15.723,4600,NaN,NaN,utwardzana,brak,NaN,NaN,NaN,265000
Micha³owice,pruszkowski,mazowieckie,52.17,20.883333,1000,NaN,NaN,asfaltowa,NaN,NaN,NaN,NaN,550000
¯abia Wola,lubelski,lubelskie,51.1183,22.5159,1500,NaN,NaN,asfaltowa,siatka,NaN,NaN,NaN,179000
Owczarnia,pruszkowski,mazowieckie,52.1109,20.7047,840,NaN,NaN,utwardzana,NaN,NaN,NaN,NaN,215000
Stare Babice,warszawski zachodni,mazowieckie,52.2596,20.8341,18000,NaN,NaN,asfaltowa,NaN,NaN,NaN,NaN,3600000
Nowy Targ,nowotarski,ma³opolskie,49.480615,20.030471,450,NaN,trójk¹t,asfaltowa,NaN,NaN,NaN,NaN,210000
Nowa Wieœ,pruszkowski,mazowieckie,52.1467834,20.7889588,12060,NaN,NaN,asfaltowa,NaN,NaN,NaN,NaN,2774000
Rusiec,pruszkowski,mazowieckie,52.0658,20.8039,1300,NaN,NaN,utwardzana,NaN,NaN,NaN,NaN,247000
Rusiec,pruszkowski,mazowieckie,52.0658,20.8039,1000,NaN,NaN,utwardzana,NaN,NaN,NaN,NaN,220000
Osowiec,grodziski,mazowieckie,52.0331,20.659,1500,NaN,NaN,utwardzana,NaN,NaN,NaN,NaN,157000
£omnica,jeleniogórski,dolnoœl¹skie,50.8647,15.7961,1040,miejska,NaN,asfaltowa,NaN,NaN,NaN,brak,100000
Boles³awiec,boles³awiecki,dolnoœl¹skie,51.27,15.5383,1343,NaN,NaN,asfaltowa,brak,NaN,NaN,NaN,161000
Rusiec,pruszkowski,mazowieckie,52.0658,20.8039,1290,NaN,NaN,asfaltowa,NaN,NaN,NaN,NaN,283800
Zielêcice,brzeski,opolskie,50.8609,17.4141,18920,NaN,NaN,asfaltowa,brak,NaN,NaN,NaN,2650000
I³ownica,bielski,œl¹skie,49.85828,18.85365,1200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48000
Sade Budy,grodziski,mazowieckie,52.057874,20.487545,974,NaN,prostok¹t,asfaltowa,brak,NaN,NaN,NaN,120000
Truskolasy,k³obucki,œl¹skie,50.864455,18.831697,803,NaN,prostok¹t,asfaltowa,brak,NaN,NaN,NaN,49000
Kraków,Krowodrza,ma³opolskie,50.0724,19.8259,1000,NaN,prostok¹t,utwardzana,NaN,NaN,NaN,NaN,700000
Kraków,Dêbniki,ma³opolskie,50.0496,19.9279,740,NaN,prostok¹t,asfaltowa,NaN,NaN,NaN,NaN,2880000
Koleczkowo,wejherowski,pomorskie,54.4857,18.3454,2535,NaN,inny,NaN,NaN,NaN,NaN,NaN,550000
Mierzyn,policki,zachodniopomorskie,53.429123,14.465905,2396,NaN,prostok¹t,utwardzana,NaN,NaN,NaN,NaN,288000
Mas³oñskie,myszkowski,œl¹skie,50.641986365432,19.2551673338501,1514,NaN,NaN,asfaltowa,NaN,NaN,NaN,NaN,73000
¯yrardów,¿yrardowski,mazowieckie,52.049185,20.448218,3224,NaN,prostok¹t,utwardzana,NaN,NaN,NaN,NaN,629000
Warszawa,Imielin,mazowieckie,52.1482234,21.0215043,853,NaN,NaN,utwardzana,NaN,NaN,NaN,NaN,1850000
Koszalin,Dzier¿êcino,zachodniopomorskie,54.1742802,16.2507874,822,brak,NaN,NaN,NaN,NaN,NaN,NaN,95000
Borek Stary,rzeszowski,podkarpackie,49.9538,22.0976,4200,NaN,prostok¹t,NaN,NaN,NaN,NaN,NaN,250000
Palikówka,rzeszowski,podkarpackie,50.0785,22.134,900,NaN,prostok¹t,utwardzana,brak,NaN,NaN,NaN,112500
Kozery,grodziski,mazowieckie,52.1104,20.5887,2004,NaN,NaN,asfaltowa,brak,NaN,NaN,NaN,220440
Siekierczyna,limanowski,ma³opolskie,49.65764977,20.43937479,3024,NaN,NaN,utwardzana,brak,NaN,NaN,NaN,95000
D¹browa Górnicza,œl¹skie,NaN,50.350156,19.295955,754,NaN,NaN,utwardzana,brak,NaN,NaN,NaN,145000
D¹browa Górnicza,œl¹skie,NaN,50.3779196897145,19.2380359359836,714,NaN,NaN,utwardzana,brak,NaN,NaN,NaN,160000
Gzowo,pu³tuski,mazowieckie,52.6159,21.0904,3100,NaN,prostok¹t,asfaltowa,brak,NaN,NaN,NaN,279000
Przypki,piaseczyñski,mazowieckie,52.0087,20.8112,5700,NaN,NaN,asfaltowa,inne,NaN,NaN,NaN,627000
Duchnice,warszawski zachodni,mazowieckie,52.2015168,20.7990516,1020,NaN,NaN,utwardzana,NaN,NaN,NaN,NaN,570000
Musu³y,grodziski,mazowieckie,52.0437,20.6534,1800,NaN,NaN,asfaltowa,NaN,NaN,NaN,NaN,170000
Wycinki Osowskie,grodziski,mazowieckie,52.0367,20.6804,1000,NaN,NaN,utwardzana,NaN,NaN,NaN,NaN,125000
Kanie,pruszkowski,mazowieckie,52.1384,20.769,900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,450000
Podkowa Leœna,grodziski,mazowieckie,52.1199928,20.7265083,2600,NaN,NaN,utwardzana,NaN,NaN,NaN,NaN,500000
