city,district,voivodeship,localization_y,localization_x,area,sewers,shape,road,fence,water,electricity,gas,price
Kajkowo,ostródzki,warmiñsko-mazurskie,53.678047,19.984013,2245,miejska,NaN,NaN,NaN,NaN,NaN,brak,105515
Nienawiszcz,obornicki,wielkopolskie,52.683281,16.997847,1622,NaN,NaN,NaN,brak,NaN,NaN,NaN,80000
KaŸmierz,szamotulski,wielkopolskie,52.513487,16.587475,735,NaN,NaN,utwardzana,NaN,NaN,NaN,NaN,185000
Grodzisk Wielkopolski,grodziski,wielkopolskie,52.227053,16.362074,1000,NaN,NaN,NaN,brak,NaN,NaN,NaN,35000
Inowroc³aw,inowroc³awski,kujawsko-pomorskie,52.795612,18.261868,4586,NaN,NaN,asfaltowa,brak,brak,NaN,NaN,155000
Sochonie,bia³ostocki,podlaskie,53.213099,23.173483,861,NaN,NaN,asfaltowa,NaN,NaN,NaN,NaN,230000
Warzno,wejherowski,pomorskie,NaN,NaN,1049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,300000
Warszawa,W³ochy,mazowieckie,NaN,NaN,956,miejska,NaN,asfaltowa,inne,NaN,NaN,NaN,2500000
Turów,lubiñski,dolnoœl¹skie,51.413486,16.380556,2600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89000
G³ogowo,toruñski,kujawsko-pomorskie,53.013204,18.824711,1500,NaN,NaN,asfaltowa,NaN,NaN,NaN,NaN,89000
Warszawa,Sadul,mazowieckie,52.20888889,21.14916667,1200,miejska,NaN,asfaltowa,siatka,NaN,NaN,NaN,1050000
Toruñ,Kaszczorek,kujawsko-pomorskie,NaN,NaN,2350,NaN,NaN,NaN,brak,NaN,NaN,NaN,750000
Dobra,policki,zachodniopomorskie,53.487561,14.386814,2000,NaN,NaN,asfaltowa,brak,NaN,NaN,NaN,420000
Rychwa³dek,¿ywiecki,œl¹skie,49.681433,19.284241,2531,brak,NaN,NaN,NaN,NaN,NaN,brak,110000
S³upca,s³upecki,wielkopolskie,52.286625,17.872472,6834,NaN,NaN,asfaltowa,brak,NaN,NaN,NaN,1020000
Jaktorów,grodziski,mazowieckie,52.083414,20.54622,16931,NaN,NaN,asfaltowa,brak,NaN,NaN,NaN,981998
Zielona Góra,lubuskie,NaN,51.9356214,15.5061862,2925,NaN,NaN,NaN,brak,NaN,NaN,NaN,1500000
Bucha³ów,zielonogórski,lubuskie,51.9114073,15.3651022,5300,NaN,NaN,NaN,brak,NaN,NaN,NaN,206700
Zabór,zielonogórski,lubuskie,NaN,NaN,7113,NaN,NaN,NaN,brak,NaN,NaN,NaN,369876
S³one,zielonogórski,lubuskie,51.9256,15.3963,5682,NaN,NaN,NaN,brak,NaN,NaN,NaN,227280
Œwidnica,zielonogórski,lubuskie,51.8879,15.3894,3050,NaN,NaN,NaN,brak,NaN,NaN,NaN,145000
Rybnik,Golejów,œl¹skie,50.14416667,18.55333333,10000,NaN,NaN,NaN,brak,NaN,NaN,NaN,738000
Popowo-Letnisko,wyszkowski,mazowieckie,52.54143,21.127396,2000,NaN,NaN,NaN,inne,NaN,NaN,NaN,139000
Jastrzêbie-Zdrój,Ruptawa,œl¹skie,49.92277778,18.60194444,1000,NaN,NaN,NaN,brak,NaN,NaN,NaN,67500
Poznañ,Rataje,wielkopolskie,52.38555556,16.94194444,26807,miejska,NaN,asfaltowa,brak,NaN,NaN,NaN,3990000
Janikowo,poznañski,wielkopolskie,52.4410382976888,17.0286788584433,16717,miejska,NaN,asfaltowa,brak,NaN,NaN,NaN,2089625
Pniów,gliwicki,œl¹skie,50.4206995639546,18.6020082176831,875,NaN,NaN,utwardzana,brak,NaN,NaN,NaN,89000
D¹browa Górnicza,Z¹bkowice,œl¹skie,50.3868823708779,19.2564881377847,944,szambo,NaN,utwardzana,brak,NaN,NaN,NaN,132160
Wrzosowa,czêstochowski,œl¹skie,50.7507791201571,19.1534335849694,1376,miejska,NaN,asfaltowa,NaN,NaN,NaN,NaN,100000
Warszawa,Ulrychów,mazowieckie,NaN,NaN,1270,miejska,NaN,NaN,siatka,NaN,NaN,NaN,2490000
Radzymin,wo³omiñski,mazowieckie,52.41666,21.18333,6000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,390000
Bytonia,starogardzki,pomorskie,53.91788761,18.2767868,1291,NaN,NaN,asfaltowa,brak,NaN,NaN,NaN,75000
K¹ty,piaseczyñski,mazowieckie,51.995629,21.152211,1274,szambo,NaN,asfaltowa,NaN,brak,NaN,NaN,254800
Radzymin,wo³omiñski,mazowieckie,52.43046702,21.19093409,605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,157000
Sadowie,krakowski,ma³opolskie,50.17931664,20.06155014,1300,NaN,NaN,NaN,brak,NaN,NaN,NaN,100000
Nowy Kawêczyn,skierniewicki,³ódzkie,51.92524993,20.20270041,3447,NaN,NaN,NaN,NaN,NaN,NaN,NaN,242000
Chotomów,legionowski,mazowieckie,52.410854,20.885092,1000,NaN,NaN,asfaltowa,NaN,NaN,NaN,NaN,349000
Warszawa,Stara Mi³osna,mazowieckie,52.24053,21.034167,4130,NaN,NaN,polna,NaN,NaN,NaN,NaN,960000
Krzaki Czaplinkowskie,piaseczyñski,mazowieckie,51.9779,21.1593,1098,szambo,NaN,utwardzana,NaN,NaN,NaN,NaN,150000
Piaseczno,piaseczyñski,mazowieckie,52.053528,20.98824,1530,miejska,NaN,NaN,siatka,NaN,NaN,NaN,730000
Choroñ,myszkowski,œl¹skie,50.6823,19.2617,1000,NaN,prostok¹t,polna,NaN,NaN,NaN,NaN,70000
Choroñ,myszkowski,œl¹skie,50.6827,19.2614,1000,NaN,prostok¹t,polna,NaN,NaN,NaN,NaN,70000
Kraków,Skotniki,ma³opolskie,50.0152705277883,19.869732076754,1000,NaN,prostok¹t,asfaltowa,NaN,NaN,NaN,NaN,729000
Ujkowice,przemyski,podkarpackie,49.838215,22.706917,4403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95000
M¹chocice Kapitulne,kielecki,œwiêtokrzyskie,50.8902,20.7807,1244,NaN,NaN,NaN,brak,NaN,NaN,NaN,136840
£oziska,piaseczyñski,mazowieckie,52.0752,20.9898,946,NaN,NaN,NaN,brak,NaN,NaN,NaN,312180
Wola Kopcowa,kielecki,œwiêtokrzyskie,50.88296739,20.71055889,1200,NaN,NaN,NaN,brak,NaN,NaN,NaN,132000
